OTUs	PC1_nutr	PC2_nutr	PC3_nutr	Fiber	Cholesterol	VitB12	CHO	Proteins	Fats_nutr	PC1_fg	PC2_fg	PC3_fg	Dairy	Meats	Eggs	Beans	Fruits	Vegetables	Cereals	Tubers	Sugars	Nuts	Fats_fg	UP_opt	UP_pes	HEI	GABA	Phylum	Class	Order	Family	Genus	Species
Otu00011	-0.036	0	0	0	0	0	0.003	-0.043	-0.035	0	0	0	0	0	0.022	0	0	0	0.054	0	0	0	0	0	0	0	0	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	sp.
Otu00012	0	0	0	0	0	0	0	0	0	0	-0.032	0	0	0	-0.058	-0.019	0	0	0	0.057	0	0	0	0.008	0.05	0	-0.05	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00013	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	bromii
Otu00014	0	0	-0.049	0.091	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	faecis
Otu00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	sp.
Otu00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0	0.046	0	0	0	0	0	0	0	0	0.043	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Cellulosibacter	alkalithermophilus
Otu00017	0	0	0	0	0	0.035	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens
Otu00018	0.152	0	0	0.112	0	0.169	0	0.12	0.12	-0.102	0.053	0	0	0.098	0	0	0.017	0	0	0	0	0	0	0	0	0	0	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Adlercreutzia	sp.
Otu00019	0.035	0	0	0.012	0	0	0	-0.061	0.01	0	0.012	0	0	0	-0.046	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	sp.
Otu00020	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.025	0.086	0	0	0	0	-0.034	0	0	0	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp.
Otu00021	0	0	-0.033	0	0	0	0	0	0	0	0.049	0	0	0	0	-0.058	0	0	0	0.067	0	0	0	0	-0.05	0	-0.014	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00022	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0.015	0.114	-0.033	0	0	0.011	0	-0.053	0	0	-0.034	0	0	0	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp.
Otu00023	0	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0.019	0	0.108	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	[Clostridium]	litorale
Otu00024	0.025	0	0	0	0	0	-0.004	0	0.028	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus
Otu00025	0	0.048	0	-0.094	0	-0.127	0	0	0	0.097	0	0	0	0	0.014	0	0	0	0	-0.089	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	sp.
Otu00026	0	-0.099	0	0.092	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.049	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	hathewayi
Otu00027	-0.043	0	-0.054	-0.081	0	-0.137	-0.014	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.064	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis
Otu00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02	0	0	0	0	0	0	-0.091	0	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister	sp.
Otu00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	SMB53	sp.
Otu00030	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0.101	0	0	0	0	0	0	0	-0.01	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	obeum
Otu00032	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	-0.004	0.03	0	0	0	0	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	stercorea
Otu00033	0	0	0	0	0	0	0	0	0	0	0.022	-0.049	-0.076	0	0	0	0	0	0	0	0	0	0	0	-0.044	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	[Eubacterium]	biforme
Otu00035	0.042	0	0.035	0	0	0	0	0	0.013	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.101	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	lactaris
Otu00037	0	0	0	0	0	0	0.069	0	0	0	-0.064	0	0	0	-0.05	0	-0.005	0	-0.055	0	0	0	0	0.064	-0.012	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	sp.
Otu00040	0	-0.142	0	0	0	0	0	0	0	0	0.071	0	0	0	0	0	0.085	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	pullicaecorum
Otu00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0.036	0.072	0	-0.001	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00043	0	0	0.024	0	0	0	0	0	0	0	0.006	0	0	0	0	-0.021	0	-0.008	0	0.081	0	0	0	0.039	0.063	-0.02	-0.019	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	-0.086	0	0	0	0.096	0	0	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
Otu00045	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	Cyanobacteria	Chloroplast	Streptophyta	Streptophyta	Streptophyta	Streptophyta
Otu00046	0	0	0	0	-0.113	0	0	0	0	0	0	0	0	0	-0.038	0.135	0	0	0	0	0	0	0	0.031	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	sp.
Otu00047	0.005	0	0	0.052	0	0	0	0	-0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Adlercreutzia	sp.
Otu00048	0	0	0.016	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	clostridioforme
Otu00049	-0.111	0	0	-0.1	0	-0.084	-0.099	0	-0.058	0	0	0	-0.051	0	0	0	0	0	0	-0.096	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
Otu00050	0	0	0	-0.041	0	-0.125	-0.077	0	0	0	0	-0.009	0	0	0	0	0	0	-0.06	0	0	0	0	0.084	0	0	0.016	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
Otu00052	0	0	0	0	0	0	0	-0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.085	0	-0.037	0.004	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae	unclassified
Otu00056	0	0	0	-0.131	0	0	0	0	0	0	-0.138	0	0	0	0	0.099	0	0	0	-0.181	0	0	0	0	0.089	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	variabile
Otu00057	0	0	0	0	0	0	0	0.121	0	0	0	0	0.108	0	0	0	0	0	0	-0.146	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	sp.
Otu00058	0.021	0	0	0	0	0	0	0.011	0.008	0	0	-0.006	-0.009	0	0	0	0	0	0	0	-0.054	0	0	-0.062	0	0	0	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp.
Otu00059	0	0	0.035	0	-0.022	0	0.029	0	0	0	0	0.091	0	0	-0.032	0	0	0	-0.078	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	sp.
Otu00060	0	0	0	0	0	0	0.027	0	0	0	0.043	0	0	0	0.027	0	0	0	0	0	0.02	0	0	-0.038	0	0	0	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	02d06	sp.
Otu00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	Paraprevotella	sp.
Otu00063	0	-0.094	0	0.12	0	0	0	0	0	0	0.048	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0.127	0.074	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Propionispora	hippei
Otu00064	0	0.038	0	0	0	0	0	0	0	0	-0.082	0	0	0	0	0.075	-0.106	0.03	0	0	0	0	0	0	0	0	-0.092	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	inulinivorans
Otu00066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.018	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	sp.
Otu00068	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus
Otu00069	-0.044	0	0	0	0	0.027	-0.083	0	0	0.095	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	[Odoribacteraceae]	Butyricimonas	sp.
Otu00071	0	0	0	-0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.009	-0.111	0	0	0	0.122	0.122	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
Otu00073	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	-0.052	0	0.067	0	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae
Otu00074	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	infantis
Otu00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	sp.
Otu00076	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	sp.
Otu00077	-0.104	0	0	0	0	0	-0.123	0	-0.081	0.066	-0.043	0	0	0	0	0	0	0	0	-0.098	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae
Otu00080	-0.12	0	0	0	0	-0.05	-0.127	-0.047	0	0	0	-0.001	0	0	0	0	0	0	-0.122	0	0	0	0	0	0	0	0.025	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	finegoldii
Otu00082	-0.1	0	0	-0.085	-0.04	0	-0.103	-0.069	0	0	0	0	0	0	0	0	0	0	-0.07	0	0	0	0	0	0	-0.009	0	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	putredinis
Otu00083	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0.057	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	formicigenerans
Otu00084	0	-0.124	0	0.136	0	0	0	0	0	0	0.06	-0.048	0	0	0	-0.006	0	0	0	0.095	0	0	0	0	-0.072	0.131	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae	unclassified
Otu00085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	-0.082	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	sp.
Otu00089	0	0	0	0	0	0	0	0	0	0	0.091	0	0	0	0	0	0.09	0	0	0	0	0	0	0	-0.055	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	sp.
Otu00090	0	0	0	0	0	0	0	0	-0.033	0	0	0	0	0	-0.047	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	sp.
Otu00092	-0.079	0	-0.085	0	0	-0.14	-0.087	0	-0.007	0	0	0	0	0	0	0	0	0	0	-0.042	-0.047	0	0	0	0	0.027	0	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus
Otu00095	0	0	0	0	0	0	0	0	0.085	0	0	0	0	0	0	0	0	0	-0.025	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	sp.
Otu00097	0	0	0	0	0	0	0	0	0	0.101	0	0	0	0	0.131	0	0	0	0	-0.121	0	0	0	0.035	0	0	0.073	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	[Mogibacteriaceae]	unclassified
Otu00099	-0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	-0.055	0	0	0	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	mucilaginosa
Otu00102	0	0	0	0	0.004	0	0	0	0	0	-0.018	0	0	0	-0.033	0	0	0	0	0	0	0	0	0	0	0	-0.008	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00108	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	-0.022	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	sp.
Otu00109	0	0	0	0	0	-0.031	-0.037	0	0	0	0	0	0	0	-0.087	0	0	0	0	0	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	[Barnesiellaceae]	[Barnesiellaceae]	unclassified
Otu00110	0	-0.107	0	0.116	0	0	0.062	0.119	0	0	0.052	0	0	0	0	0	0.109	0.068	0	-0.036	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	sp.
Otu00111	0	-0.106	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	albus
Otu00112	0	0	-0.026	0	0.002	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.074	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00113	0	0	0	0	0	0	-0.027	0	0	0	0	0	0	0	-0.023	0	0	0	0	0	0	0	0	0.086	0	0	0	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	sp.
Otu00118	0	0	0.067	0	0	0	0	0	0	0	0.014	0	0	0	0	0.014	0	0.051	-0.011	0	0	0	0	0	0	0	0	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	sp.
Otu00119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	sp.
Otu00121	-0.105	0	0	0	0.001	-0.101	-0.121	0	0	0	-0.083	-0.084	0	0	0	0.039	0	0	-0.077	0	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	sp.
Otu00126	0	0	0	0	0	0	0	0	0	0	0	-0.022	0	0	0	0.101	0	0.095	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	clostridioforme
Otu00129	0	0.125	0	-0.13	0	0	0	0	0	0	-0.103	0.112	0	0	0	0	0	0	0	0	0.077	0	0	0	0.071	-0.106	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	sp.
Otu00132	0	0	0	0	0	-0.021	0	0	0	0	0	0	0	0	0	0.065	0	-0.021	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae	unclassified
Otu00147	0	0	0	0	0	0	0	0	0	0	-0.061	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	sp.
Otu00148	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0	-0.003	0	0	0	0	0	0.08	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	sp.
Otu00151	0	0	0	0	-0.017	0	0	0	0	0	0	0	0	0	-0.025	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	ginsengarvi
Otu00162	0	0.03	0	0	0	0	0	0	0.046	0	0	0	0	0	0.048	0	0	0	0	0	0.031	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	sp.
Otu00175	0	0	0.055	0	0	0	0	0	0	0	0	0	-0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	sp.
Otu00177	-0.128	0.083	0.04	-0.2	0	0.005	-0.115	0	0	0	0	0	0	0	0	0	0	0	0	-0.088	0	0	0	0.111	0.056	0	-0.059	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	sp.
Otu00188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	sp.
Otu00197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	-0.038	0	0	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella	sp.
Otu00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	0	0	0	0	0	-0.031	0	0	0	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	ramosum
Otu00220	0	0	0	0	0	0	0.099	0	0.069	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	catus
Otu00228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02	0	0	0	0	0	0	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	[Odoribacteraceae]	Odoribacter	sp.
Otu00284	0	0	0	0.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	sp.
Otu00325	0	0	0	0	0	0	0.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.051	0	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	aerotolerans
